trade_date,close,open,high,low,vol
20211123,4913.3457,4905.7587,4927.5211,4896.8781,154304411
20211122,4912.399,4895.3875,4918.9957,4893.2732,138092836
20211119,4890.0575,4832.0595,4892.8093,4829.5665,127198312
20211118,4837.6185,4871.4216,4871.4216,4830.4123,114480565
20211117,4885.7544,4883.2481,4891.5232,4864.5198,108459223
20211116,4883.3206,4880.8964,4915.3717,4876.5004,127254406
20211115,4882.3777,4894.4119,4906.3301,4863.396,121823149
20211112,4888.3749,4902.9289,4909.0839,4875.3492,132662969
20211111,4898.6529,4814.7655,4898.6529,4809.1109,160484863
20211110,4821.1925,4832.8006,4832.8006,4753.9959,135118179
20211109,4846.7444,4858.2525,4870.7905,4818.5386,118375526
20211108,4848.1795,4841.1527,4866.0822,4827.6892,137398264
20211105,4842.3458,4858.8999,4889.6835,4841.7442,147789359
20211104,4868.7419,4841.0912,4873.9394,4834.7433,132592970
20211103,4821.1119,4835.8093,4858.7133,4804.3657,142763820
20211102,4839.8457,4886.1849,4911.2266,4797.899,185437688
20211101,4890.6851,4878.1276,4908.2056,4858.2485,171583974
20211029,4908.7701,4861.2667,4908.7701,4855.7593,159887353
20211028,4864.138,4882.5858,4898.6576,4846.2779,156649472
20211027,4898.1644,4949.2269,4949.2269,4884.9418,147111593
20211026,4963.0984,4983.2383,5002.5746,4953.4787,140888943
20211025,4979.5235,4940.8962,4981.6499,4930.112,141861490
20211022,4959.7254,4934.8698,4989.887,4934.8698,143926228
20211021,4928.0156,4914.7378,4946.1764,4893.8525,148898154
20211020,4910.1846,4926.7727,4944.0216,4898.3651,141533183
20211019,4922.7232,4869.3907,4928.1433,4868.8106,135266493
20211018,4874.7753,4922.5137,4922.5137,4844.9383,141245199
20211015,4932.1084,4896.5578,4939.8153,4881.0136,142822001
20211014,4913.6123,4934.2575,4953.9231,4903.2498,119557013
20211013,4940.1089,4880.144,4953.3749,4869.8307,131142813
20211012,4883.8369,4920.6596,4925.4883,4840.77,168079337
20211011,4936.1918,4941.2918,4983.7294,4930.7132,163511624
20211008,4929.9409,4915.7305,4937.0918,4891.6249,168968077
20210930,4866.3826,4843.9531,4876.0728,4843.9531,146113896
20210929,4833.9281,4846.0212,4868.0678,4799.877,188171366
20210928,4883.828,4869.0845,4901.3114,4846.6306,176890880
20210927,4877.3698,4870.8482,4922.5626,4852.1997,215967030
20210924,4849.4277,4845.638,4897.0596,4838.5352,207693290
20210923,4853.1957,4848.2223,4877.3359,4837.5571,228151064
20210922,4821.7675,4770.7323,4830.8496,4765.2301,191220376
20210917,4855.9402,4797.1129,4857.958,4786.0876,201958127
20210916,4807.6978,4866.7936,4879.5306,4806.1442,216752099
20210915,4867.3187,4903.8471,4903.8471,4843.1158,187984730
20210914,4917.1617,4989.8348,5000.9772,4907.3159,245590402
20210913,4991.6598,5006.7748,5029.7237,4964.9599,249915298
20210910,5013.5219,4967.9759,5042.7994,4962.3707,288304352
20210909,4970.0133,4952.4924,4970.147,4929.9501,256530217
20210908,4972.1324,4986.7953,5013.9764,4955.8876,264615315
20210907,4992.8294,4932.9759,5005.9606,4915.6119,244178519
20210906,4933.7262,4841.0623,4944.4497,4837.7859,240507245
20210903,4843.0624,4875.0656,4886.5477,4828.6991,268091896
20210902,4869.4113,4865.8218,4892.7049,4845.6246,267858013
20210901,4869.4587,4804.6863,4906.4024,4763.2992,326721080
20210831,4805.6099,4803.0854,4821.7564,4740.7524,235118658
20210830,4813.2703,4847.0348,4849.1598,4787.1999,219635757
20210827,4827.0433,4794.974,4863.4692,4793.5908,183310211
20210826,4801.6094,4892.2044,4892.2044,4798.6954,197617387
20210825,4898.1572,4890.5211,4899.7651,4865.7646,189448016
20210824,4888.3902,4844.5925,4906.2036,4842.7476,197883163
20210823,4835.8782,4777.7347,4843.8193,4764.0089,167579093
20210820,4769.2678,4817.4937,4835.153,4720.8257,177635810
20210819,4862.1394,4886.564,4893.467,4839.5681,201711719
20210818,4894.2384,4838.4706,4909.5409,4818.9013,197474378
20210817,4837.4034,4935.0044,4967.5648,4823.3923,187573472
20210816,4941.0676,4935.9229,4973.3761,4931.3691,161953373
20210813,4945.9829,4958.7577,4993.7432,4921.2812,158314321
20210812,4973.3509,4998.0733,5016.2628,4962.985,168223733
20210811,5015.3406,5037.0819,5059.7887,5009.9782,182266074
20210810,5043.148,4977.8164,5043.7608,4941.2399,167051902
20210809,4985.5627,4890.2573,5002.8944,4884.0392,182436871
20210806,4921.5647,4943.0427,4944.3486,4891.7968,154179688
20210805,4948.6703,4946.1668,4997.1397,4921.9382,167381829
20210804,4978.8479,4927.7358,4979.2911,4919.6569,175466461
20210803,4934.4583,4909.2325,4957.0291,4890.8495,203533360
20210802,4933.736,4794.8192,4938.8154,4761.4593,227194918
20210730,4811.1695,4825.7002,4825.7002,4761.0376,182349776
20210729,4850.2746,4845.7603,4857.9709,4800.0125,173322054
20210728,4760.4826,4714.2948,4785.6567,4663.9009,192634393
20210727,4751.313,4924.2816,4940.86,4749.0327,236631225
