指标名称,7天回购利率:加权平均:最近1月(B1M):月:平均值,短期贷款利率:6个月(含)(月),中债国债到期收益率:5年:月:平均值,中间价:新西兰元兑人民币:月:平均值,银行间同业拆借:成交金额:30天:当月值,金融机构:本外币贷款余额:初值:同比,金融机构:新增人民币贷款:当月值,金融机构:各项存款余额:同比,货币当局:储备货币:其他存款性公司存款,货币当局:国外负债,货币当局:自有资金,M0:同比,M1:同比,现金净投放:当月值,基础货币余额:同比:月:均值,出口价格指数(HS2):总指数,出口价格指数(BEC):食品和饮料,出口价格指数(BEC):加工品,出口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,出口价格指数(BEC):运输设备及其零件和附件,出口价格指数(BEC):未列名的消费品,进口价格指数(BEC):加工品,进口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,进口价格指数(BEC):运输设备及其零件和附件,进口价格指数(BEC):未列名的消费品,进口价格指数(BEC):未列名的消费品:耐用品,进口价格指数(BEC):未列名的消费品:非耐用品,出口价格指数(BEC):未列名的消费品:非耐用品,实际使用外资金额:外商直接投资:当月同比,CPI:食品:当月同比,CPI:居住:当月同比,CPI:生活用品及服务:当月同比,CPI:交通和通信:当月同比,CPI:教育文化和娱乐:当月同比,PPI:全部工业品:环比,PPI:生活资料:衣着类:当月同比,PPI:生活资料:耐用消费品类:当月同比,RPI:当月同比,CGPI:煤油电:当月同比,GDP:现价:累计同比:月:均值,GDP:初步核算数:当季同比:月:均值,社会融资规模:当月值,社会融资规模:累计值,上证所:平均市盈率,上证所:A股平均市盈率,上证综合指数:月:平均值,上证A股指数:月:平均值,换手率:上证综合指数:月:平均值,涨跌幅:上证综合指数:月:平均值,市净率:万得全A:月:平均值
201803,3.403365,4.35,3.457325,4.569072222,411.74,11.9,11800.0,8.9,224662.34,1233.27,219.75,4.5,7.2,-1216.0,1.613012,100.2,94.7,95.7,105.0,98.6,93.1,94.3,101.3,102.8,104.1,95.7,108.2,96.8,1.9,0.7,2.2,1.5,1.1,2.0,-0.2,0.2,-0.6,0.013756,4.7,3.273333333,2.233333333,22242.94055,82816.02573,17.31,17.3,3124.264917,3271.954622,0.474672222,-0.148787556,1.893176667
201804,3.412004545,4.35,3.388618182,4.428977273,984.11,12.0,11500.0,8.9,223565.241,2741.2009,219.752,3.6,6.0,-1702.0,1.613012,100.6,96.4,97.3,103.3,98.0,94.5,95.3,96.1,95.5,89.4,94.7,85.6,95.6,11.7,0.1,2.2,1.5,1.8,1.9,0.4,0.3,-0.7,0.015355,6.8,3.273333333,2.233333333,11233.62445,94049.65018,15.16,15.17,3147.132136,3296.095895,0.425509091,0.023816182,1.870003226
201805,3.26775,4.35,3.452705,4.48391,150.71,12.1,18400.0,8.4,237805.0762,1117.8022,219.752,3.9,6.6,-185.0,1.613012,100.4,97.4,99.2,102.3,99.3,97.4,98.0,97.5,103.1,88.3,98.6,79.7,98.9,5.8,0.3,2.3,1.5,2.4,1.8,0.3,0.3,-0.5,0.018405,9.2,3.273333333,2.233333333,20372.96461,114422.6148,14.06,14.07,2978.06314,3119.0827,0.40242,-0.40998025,1.783183333
201806,3.037345455,4.35,3.302459091,4.550922727,274.1,12.7,14500.0,8.5,229937.5363,1199.3963,219.752,3.6,5.1,-59.0,1.293294,101.0,97.2,99.5,100.4,100.4,98.3,98.4,105.9,104.9,106.5,103.8,105.7,98.9,19.3,0.5,2.4,1.6,3.0,2.3,0.1,0.7,-0.2,0.021751,10.7,3.236666667,2.166666667,18381.94196,132804.5567,14.29,14.3,2821.058686,2954.438582,0.4231,0.053393364,1.708329032
201807,2.586026087,4.35,3.320686957,4.569278261,521.29,12.8,12800.0,8.3,227764.5434,1398.43,219.75,3.3,3.9,245.0,1.293294,104.1,99.4,101.3,105.9,100.4,100.9,100.5,98.6,104.7,101.0,105.0,95.3,101.9,11.4,1.7,2.5,1.6,2.7,2.6,0.4,1.1,0.2,0.022665,9.7,3.236666667,2.166666667,24078.24889,156882.8056,13.58,13.59,2748.15917,2877.982043,0.373613043,-0.226468,1.6436
201808,2.669409524,4.35,3.46817619,4.512715789,381.43,12.8,13800.0,8.5,231051.1234,2049.549,219.752,2.2,4.0,1479.0,1.293294,107.0,101.6,103.7,110.6,104.1,101.5,99.6,104.5,109.4,93.6,102.1,85.8,102.7,8.3,3.6,2.6,1.6,2.8,2.2,0.6,1.1,0.2,0.026463,9.4,3.236666667,2.166666667,23061.25012,179944.0558,14.07,14.08,2723.081858,2851.689668,0.342147368,0.188180737,1.59778
201809,2.731488889,4.35,3.379161111,4.519905556,563.9,12.8,6970.0,8.1,211727.0606,2485.2777,219.752,2.8,2.7,-1148.0,0.940932,109.4,102.1,102.8,111.3,105.4,106.9,102.7,109.1,110.5,104.8,104.9,104.4,107.9,7.3,3.3,2.5,1.5,3.2,2.5,0.4,1.2,-0.1,0.027943,9.4,2.95,2.133333333,9537.802987,189481.8587,13.0,13.0,2601.957422,2724.89625,0.461027778,-0.422611222,1.527258065
201810,2.655922727,4.35,3.215918182,4.691227273,407.84,12.6,12500.0,7.6,216967.35,1316.327,219.75,2.8,1.5,457.0,0.940932,107.5,102.1,103.2,107.2,106.1,105.4,100.8,105.7,107.5,104.4,105.7,105.3,105.3,-27.6,2.5,2.4,1.5,1.6,2.5,-0.2,1.5,0.1,0.021521,6.3,2.95,2.133333333,16127.16526,205609.024,12.96,12.97,2630.996036,2755.138577,0.554036364,-0.018676136,1.48672
201811,2.844068182,4.35,3.034178261,4.698945,523.94,12.9,10800.0,8.2,235511.22,1164.51,219.75,3.6,1.5,2645.0,0.940932,105.3,103.8,104.3,105.0,105.2,104.6,100.8,114.1,113.6,103.5,107.9,101.4,106.5,23.2,2.5,2.2,1.4,-0.7,2.3,-1.0,1.6,0.2,0.01433,1.5,2.95,2.133333333,19311.17408,224920.1981,12.44,12.45,2573.702485,2695.008795,0.387215,-0.18081005,1.459174194
201812,2.893504762,4.35,2.921472727,4.597345455,380.84,12.8,32300.0,7.6,203473.79,2050.67,219.75,17.2,0.4,14300.0,-1.829689333,103.2,102.9,103.8,102.0,104.1,102.3,99.3,112.6,111.3,107.8,105.5,111.9,101.2,2.8,1.9,2.1,1.5,-1.3,2.9,-0.6,1.6,0.0,0.009575,-1.4,2.456666667,2.133333333,46791.13927,46791.13927,12.99,13.0,2558.433423,2679.04025,0.453831818,0.165627727,1.449335484
