指标名称,7天回购利率:加权平均:最近1月(B1M):月:平均值,短期贷款利率:6个月(含)(月),中债国债到期收益率:5年:月:平均值,中间价:新西兰元兑人民币:月:平均值,银行间同业拆借:成交金额:30天:当月值,金融机构:本外币贷款余额:初值:同比,金融机构:新增人民币贷款:当月值,金融机构:各项存款余额:同比,货币当局:储备货币:其他存款性公司存款,货币当局:国外负债,货币当局:自有资金,M0:同比,M1:同比,现金净投放:当月值,基础货币余额:同比:月:均值,出口价格指数(HS2):总指数,出口价格指数(BEC):食品和饮料,出口价格指数(BEC):加工品,出口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,出口价格指数(BEC):运输设备及其零件和附件,出口价格指数(BEC):未列名的消费品,进口价格指数(BEC):加工品,进口价格指数(BEC):资本货品(运输设备除外)及其零件和附件,进口价格指数(BEC):运输设备及其零件和附件,进口价格指数(BEC):未列名的消费品,进口价格指数(BEC):未列名的消费品:耐用品,进口价格指数(BEC):未列名的消费品:非耐用品,出口价格指数(BEC):未列名的消费品:非耐用品,实际使用外资金额:外商直接投资:当月同比,CPI:食品:当月同比,CPI:居住:当月同比,CPI:生活用品及服务:当月同比,CPI:交通和通信:当月同比,CPI:教育文化和娱乐:当月同比,PPI:全部工业品:环比,PPI:生活资料:衣着类:当月同比,PPI:生活资料:耐用消费品类:当月同比,RPI:当月同比,CGPI:煤油电:当月同比,GDP:现价:累计同比:月:均值,GDP:初步核算数:当季同比:月:均值,社会融资规模:当月值,社会融资规模:累计值,上证所:平均市盈率,上证所:A股平均市盈率,上证综合指数:月:平均值,上证A股指数:月:平均值,换手率:上证综合指数:月:平均值,涨跌幅:上证综合指数:月:平均值,市净率:万得全A:月:平均值
201301,3.174647059,5.6,3.2766,5.22328,336.89,16.1,6200.0,14.6,184549.71,1076.51,219.75,17.2,9.5,-2136.0,3.966666667,99.8,101.3,98.5,93.1,94.6,108.3,90.9,100.8,102.9,99.3,100.9,97.9,100.5,6.32,5.9872,2.8006,1.589,0.2258,1.9658,0.15,1.5,-0.84,0.021,-1.9,3.353333333,2.566666667,10705.0,36151.45,12.9,12.89,2380.3634,2491.569,0.619346667,-0.047873667,1.862260714
201302,3.301504762,5.6,3.291057143,5.14652381,766.6,16.0,10625.0,15.6,192318.96,1295.98,219.75,12.4,11.9,-4589.0,3.966666667,99.1,102.8,99.7,95.6,95.1,108.7,89.7,103.1,103.4,98.1,101.0,91.9,106.3,5.65,2.6775,2.9187,1.6209,-0.2641,1.7207,-0.03,1.38,-0.79,0.008,-2.7,3.353333333,2.566666667,25503.0,61654.0,12.19,12.18,2296.431095,2403.647571,0.561942857,-0.256606714,1.788570968
201303,3.211561905,5.6,3.204061905,5.237841667,588.26,16.1,7923.0,16.2,190587.96,1267.65,219.75,10.8,11.9,147.0,4.333333333,99.9,104.5,102.7,96.3,97.0,105.4,90.7,106.9,99.1,101.7,97.1,105.4,104.0,0.4,4.0474,2.8892,1.5749,-1.1015,1.5046,-0.55,1.31,-0.6,0.009,-5.0,3.07,2.5,17629.0,79283.0,11.89,11.89,2211.796056,2314.957778,0.420194444,-0.142695611,1.688423333
201304,3.415759091,5.6,3.129681818,5.060915909,748.42,15.6,6694.0,16.2,189818.91,1220.51,219.75,10.8,11.3,-1258.0,4.333333333,99.1,101.6,99.9,99.0,96.6,101.0,90.2,101.0,100.8,98.7,101.3,101.1,99.9,0.29,3.225,2.9973,1.5657,-1.187,1.3171,-0.62,1.23,-0.81,0.007,-5.8,3.07,2.5,11871.0,91154.0,11.81,11.81,2264.514773,2370.196409,0.525509091,0.252206682,1.697470968
201305,5.566931579,5.6,3.323942105,4.852270588,160.51,15.1,8628.0,14.3,197945.13,1127.07,219.75,9.9,9.1,-463.0,4.333333333,99.3,100.2,99.8,99.5,98.8,102.8,92.6,97.3,101.7,95.3,112.6,81.8,105.0,20.12,4.9261,3.0718,1.4953,-0.7161,1.3554,-0.55,1.03,-0.81,0.014,-4.4,3.07,2.5,10375.0,101529.0,10.17,10.16,2119.149176,2217.954235,0.455676471,-0.869303353,1.63246
201306,5.126486957,5.6,3.463552174,4.835508696,352.31,15.0,6997.0,14.6,194757.45,1162.07,219.75,9.5,9.7,349.0,3.833333333,97.7,99.3,100.7,90.6,96.9,101.0,94.7,99.6,99.6,96.6,104.7,95.4,101.9,24.13,5.0158,2.765,1.386,-0.0549,1.3205,-0.33,1.04,-0.86,0.017,-2.2,3.14,2.6,8191.0,109720.0,10.26,10.26,2013.649261,2107.525348,0.437443478,0.040506217,1.588193548
201307,4.171727273,5.6,3.816777273,4.846772727,254.99,14.6,7128.0,14.9,197005.76,1425.71,219.75,9.3,9.9,513.0,3.833333333,97.9,101.6,101.5,92.5,94.4,102.0,95.8,98.9,103.5,96.7,107.7,91.3,103.1,0.62,4.7285,2.6224,1.391,0.0493,1.2297,0.14,1.08,-0.98,0.016,-1.7,3.14,2.6,15841.0,125561.0,10.8,10.8,2073.816955,2170.502045,0.489313636,0.236251045,1.635683871
201308,3.847457143,5.6,3.948295238,4.954797368,446.83,14.6,7870.0,14.6,200096.74,1817.84,219.75,5.7,8.9,1480.0,3.833333333,100.7,102.9,101.9,98.8,95.4,101.8,94.8,95.4,101.8,105.7,99.8,112.5,104.3,4.88,6.0988,2.622,1.3763,-0.1717,1.9135,0.23,1.03,-0.93,0.019,-1.8,3.14,2.6,14120.0,139681.0,11.2,11.19,2185.347053,2287.635737,0.676152632,0.195015737,1.67581
201309,4.043,5.6,3.961131579,5.094638889,439.5,14.3,5060.0,14.5,197174.96,1479.11,219.75,8.0,8.9,-897.0,2.466666667,100.1,104.4,104.2,94.3,88.1,106.6,95.3,93.5,105.0,103.5,95.2,99.7,106.7,1.24,6.5486,2.5968,1.5244,-0.611,2.4867,0.0,1.21,-1.05,0.019,-2.1,3.18,2.566666667,8645.0,148326.0,11.05,11.05,2186.705944,2288.845833,0.561416667,-0.079628778,1.683412903
201310,4.461561905,5.6,4.339895238,5.035961905,390.25,14.2,6246.0,14.5,198062.92,1875.83,219.75,7.7,9.4,846.0,2.466666667,97.8,100.7,99.0,94.6,92.5,101.6,95.6,96.6,98.5,100.6,99.0,104.2,99.9,2.35,5.9414,2.6214,1.3345,-0.5312,2.8205,-0.03,1.19,-1.04,0.0167,-2.1,3.18,2.566666667,12310.0,160636.0,11.47,11.46,2161.967714,2263.108952,0.442157143,0.176996857,1.61182
201311,4.992954545,5.6,4.43195,4.993809091,351.6,13.9,4824.0,13.8,206042.17,2088.27,219.75,7.1,9.3,2117.0,2.466666667,100.1,103.1,102.0,99.2,99.0,98.9,101.7,94.0,99.1,106.6,98.3,112.9,102.3,3.3,4.0532,2.7736,1.3503,-0.102,2.8689,0.01,1.08,-1.14,0.0125,-1.5,3.18,2.566666667,12532.0,173169.0,10.99,10.99,2163.378955,2264.399455,0.396854545,-0.214935909,1.619251613
201312,5.018936364,5.6,4.372840909,5.006652381,461.59,14.0,13190.0,11.3,201979.15,1975.68,219.75,22.5,1.2,17900.0,2.766666667,98.7,99.2,96.5,94.1,98.5,99.2,104.9,93.2,93.2,100.3,103.6,92.9,102.9,16.11,3.6718,2.8172,1.4724,0.1975,3.3457,-0.05,0.72,-1.24,0.0111,-1.6,2.623333333,2.466666667,26004.0,26004.0,10.57,10.57,2036.281429,2130.982857,0.31202381,-0.186424714,1.554706452
201401,4.740329412,5.6,4.179382353,5.05576875,219.95,13.9,6448.0,12.5,204697.51,1696.7,219.75,3.3,6.9,-14200.0,2.766666667,99.2,96.4,93.4,96.9,96.1,106.3,104.4,94.4,105.4,94.8,103.6,89.7,101.8,4.05,2.6508,2.7975,1.2543,-0.4127,2.1419,-0.2,0.7705,-1.0625,0.007519,-3.3,2.623333333,2.466666667,9370.0,35400.0,10.73,10.73,2091.48525,2189.318688,0.53565625,0.07659775,1.604375
201402,3.215019048,5.6,4.158061905,5.236461905,393.97,13.7,10497.0,11.4,209925.3,1998.79,219.75,5.2,5.4,-3942.0,2.766666667,96.6,99.8,99.4,100.3,94.2,99.8,105.3,101.9,100.6,98.1,99.5,96.3,97.0,-1.47,4.0724,2.5155,1.2305,-0.395,2.1197,-0.3,0.8281,-0.9415,0.012,-3.8,2.623333333,2.466666667,20934.0,56042.0,10.65,10.66,2036.629,2132.140714,0.461833333,-0.04789119,1.561593548
201403,3.557114286,5.6,4.113728571,5.314428571,674.58,13.4,7745.0,10.9,208440.7,1462.04,219.75,5.4,5.5,286.0,2.866666667,96.7,100.3,100.0,97.0,96.6,97.6,104.0,108.4,99.3,106.8,98.7,110.8,94.3,3.4,2.2862,2.4028,1.2159,0.0524,1.9794,-0.2474,0.7292,-0.7782,0.008073,-3.0,2.826666667,2.5,15259.0,71301.0,10.65,10.65,2074.381714,2171.844,0.411090476,-0.012277619,1.548346667
201404,3.33172381,5.6,4.02172381,5.317505,464.35,13.6,8708.0,10.6,210235.09,1330.31,219.75,6.7,5.7,-564.0,2.866666667,98.8,101.8,100.2,98.8,96.2,99.9,103.7,112.1,100.0,102.6,97.7,107.1,100.2,-6.7,4.102,2.3336,1.185,0.5781,2.1214,-0.0551,0.8184,-0.6005,0.016468,-1.5,2.826666667,2.5,14013.0,85314.0,9.77,9.76,2029.75265,2125.0063,0.313095,0.03406475,1.463054839
201405,3.21037,5.6,3.848375,5.32193,306.91,13.7,10793.0,12.6,216638.19,1477.31,219.75,5.3,8.9,-1100.0,2.866666667,98.5,105.2,104.2,98.0,92.9,100.7,101.6,97.2,100.7,86.1,96.9,76.7,100.7,0.2,3.6831,2.2273,1.2149,0.6425,2.0984,-0.2138,0.794,-0.8894,0.016046,-1.0,2.826666667,2.5,19673.0,105675.0,9.81,9.8,2043.0152,2139.1411,0.32951,0.02447965,1.501796667
201406,3.700865217,5.6,3.989552174,5.36186087,414.4,13.3,3852.0,10.9,213556.06,1348.45,219.75,5.4,6.7,395.0,2.8,99.2,103.4,101.8,98.8,96.3,102.5,101.9,97.5,104.3,106.0,103.9,115.4,101.7,-16.95,3.598,2.0186,1.1317,0.6774,2.1223,-0.0926,0.7373,-0.8809,0.015776,-0.6,2.856666667,2.433333333,2737.0,108412.0,10.59,10.58,2086.229261,2184.339522,0.533421739,0.316663087,1.582554839
201407,3.669685714,5.6,3.983857143,5.193704762,247.42,13.2,7025.0,10.1,214070.65,1398.31,219.75,5.6,5.7,651.0,2.8,100.5,103.0,101.1,99.7,94.7,103.3,99.8,94.2,102.9,104.2,102.7,114.0,99.5,-14.0,3.0457,1.8505,1.0872,0.1774,1.9383,-0.1978,0.6654,-0.7794,0.011828,-1.6,2.856666667,2.433333333,9577.0,117989.0,10.69,10.68,2218.362095,2322.473048,0.652495238,0.036617429,1.676712903
201408,3.3685,5.6,3.964331818,5.017342857,246.46,13.0,8572.0,9.3,219754.43,1964.0,219.75,4.2,4.8,848.0,2.8,102.1,102.0,99.6,100.6,93.1,108.4,99.5,103.7,97.4,94.3,100.5,86.3,101.5,1.9,2.3228,1.6464,1.1247,-0.3425,1.8837,-0.4,0.6506,-0.8335,0.006632,-3.9,2.856666667,2.433333333,11355.0,128441.0,11.49,11.48,2317.069857,2425.662619,0.815314286,0.308844524,1.721023333
201409,3.089884211,5.6,3.680973684,4.83865,470.22,12.9,5483.0,9.5,215605.33,1629.25,219.75,3.8,3.2,-1153.0,2.833333333,101.9,205.2,99.5,104.2,102.5,103.8,99.4,101.6,97.9,92.0,103.4,81.2,97.3,1.3,2.4955,1.6459,1.1845,-0.3452,1.0739,-0.4,0.5129,-0.6879,0.006137,-5.2,3.963333333,2.433333333,6807.0,135248.0,11.81,11.8,2354.653889,2465.197056,0.832838889,0.134605944,1.751212903
201410,3.172505,5.6,3.43071,4.805805,451.02,13.0,8527.0,9.6,215544.73,1481.9,219.75,3.5,3.2,747.0,2.833333333,99.5,103.2,101.6,102.0,95.7,99.9,95.6,97.5,102.2,99.4,97.7,102.2,98.9,22.2,2.3086,1.3533,1.1732,-0.812,0.9786,-0.4926,0.5032,-0.6888,0.00437,-7.1,3.963333333,2.433333333,11459.0,146707.0,13.15,13.14,2493.2602,2610.75645,1.153055,0.52058855,1.77321
201411,3.818756522,5.6,3.583865217,4.760634783,313.85,13.3,6973.0,9.1,226941.74,1833.83,219.75,2.9,3.2,1820.0,2.833333333,100.2,100.5,98.9,104.1,98.1,100.1,92.9,93.2,103.3,92.8,97.9,89.2,98.2,10.3,2.8564,1.0072,1.1306,-1.4023,0.874,-0.6297,0.5658,-0.5796,0.003648,-10.2,3.963333333,2.433333333,16945.0,164571.0,15.99,15.99,2994.525609,3137.112652,1.999195652,0.840222652,2.058458065
201412,4.317485714,5.6,3.434819048,4.695075,135.33,13.7,14707.0,13.7,218882.75,1561.64,219.75,-17.6,10.6,2781.0,2.566666667,100.4,102.1,102.3,103.5,99.8,98.9,88.7,100.0,100.4,99.1,97.8,99.9,99.6,29.4,1.1092,0.831,0.9144,-2.2291,0.2993,-1.0909,0.8369,-0.6821,-0.004456,-14.0,3.236666667,2.333333333,20516.0,20516.0,15.94,15.94,3293.87305,3451.609,1.40798,-0.0047968,2.206303226
201501,4.335217647,5.6,3.272435294,4.566026667,262.01,13.8,10200.0,10.9,215752.46,1447.11,219.75,17.0,5.6,9856.0,2.566666667,96.7,101.3,99.8,94.1,97.0,99.1,87.3,103.6,97.8,101.1,99.0,100.9,98.8,0.9,2.3657,0.5765,1.4584,-1.7018,1.8374,-0.7306,0.7538,-0.6319,-0.000607,-15.6,3.236666667,2.333333333,13609.0,34125.0,16.57,16.57,3186.547267,3338.721,0.958453333,0.213917733,2.206928571
201502,4.664345455,5.35,3.326186364,4.609990909,377.01,13.3,11800.0,10.1,226674.52,1405.32,219.75,6.2,2.9,-10947.0,2.566666667,99.7,100.2,99.4,103.1,97.5,100.6,88.2,105.1,103.0,91.9,100.6,87.6,100.5,2.2,2.333,0.6312,1.2027,-1.5409,1.5734,-0.0718,0.7389,-0.6154,-7.6e-05,-14.7,3.236666667,2.333333333,12433.0,46071.0,18.96,18.97,3483.941273,3651.012409,1.687,0.573308636,2.422841935
201503,3.473161905,5.35,3.373733333,4.656752381,262.0,13.4,7079.0,9.7,226002.11,1703.93,219.75,3.7,3.7,-1177.0,1.066666667,98.5,99.6,99.1,101.0,93.0,101.8,88.0,95.4,102.3,86.4,96.5,81.7,104.8,10.5,2.7315,0.6129,1.1255,-1.555,1.6493,-0.2602,0.5142,-0.8748,0.001056,-14.2,3.446666667,2.333333333,10582.0,56653.0,22.55,22.55,4186.23219,4386.767571,2.360238095,0.822274286,2.854403333
201504,2.35128,5.1,3.176625,4.530465,247.38,13.1,9008.0,10.9,222526.96,1647.31,219.75,1.8,4.7,-1696.0,1.066666667,97.7,99.1,98.8,97.5,96.1,103.0,87.2,98.7,96.4,89.8,100.5,82.7,105.6,7.8,1.5985,0.7144,1.0427,-1.3402,1.6922,-0.0912,0.4846,-1.0728,-0.00082,-13.7,3.446666667,2.333333333,12397.0,69050.0,21.94,21.92,4467.845,4679.51715,2.069245,0.22012675,3.01796129
201505,2.192285714,4.85,3.2448,4.293480952,415.39,12.5,12806.0,10.7,223667.65,1465.51,219.75,2.9,4.3,-472.0,1.066666667,100.5,98.4,97.4,102.4,100.9,103.3,90.9,104.4,97.3,95.6,97.8,93.6,104.3,0.7,1.8544,0.7776,1.0228,-1.5018,1.7392,-0.4291,0.5123,-0.6471,0.000475,-12.8,3.446666667,2.333333333,18384.0,88068.0,20.93,20.92,4798.02021,5024.941667,2.348052381,-0.303759762,3.321153333
201506,2.647686957,4.85,3.153469565,4.08113913,311.14,14.4,14800.0,13.4,218105.53,1453.85,219.75,2.9,6.6,406.0,-0.583333333,99.3,99.4,97.5,103.7,93.6,99.9,86.5,101.8,91.0,89.9,94.4,84.8,103.6,5.2,2.7273,0.7822,1.0187,-1.8099,1.6849,-0.6759,0.5377,-0.7466,0.001885,-13.8,5.386666667,2.3,7511.0,95579.0,18.04,18.04,3848.249165,4031.803161,2.166926087,-0.606783304,2.693925806
201507,2.471095238,4.6,3.216985714,4.129914286,253.42,14.7,8096.0,13.0,218282.26,1623.62,219.75,1.8,9.3,51.0,-0.583333333,96.5,99.8,97.0,98.6,99.3,97.1,89.5,99.2,93.8,88.9,95.0,78.2,100.0,22.0,3.6772,0.7702,0.9825,-2.0945,1.8187,-0.7816,0.5884,-0.7844,0.004006,-15.6,5.386666667,2.3,11097.0,106676.0,15.82,15.81,3594.017324,3765.335619,1.5615,-0.560959714,2.524209677
201508,2.438914286,4.6,3.144247619,4.03192,363.87,12.4,10500.0,12.6,211222.39,1649.93,219.75,3.7,11.4,1961.0,-0.583333333,101.1,103.3,100.7,101.0,100.0,104.8,95.0,94.6,96.4,102.3,97.1,110.0,105.2,7.1,2.7236,0.7853,1.0018,-2.1397,1.3917,-0.4015,0.8252,-0.5792,0.000854,-16.8,5.386666667,2.3,13571.0,119408.0,15.11,15.1,3127.99227,3276.756175,1.00166,-0.22274965,2.10999
201509,2.41935,4.35,2.914444444,4.278835294,225.09,14.4,5136.0,12.7,209719.77,1855.42,219.75,3.8,14.0,-1122.0,-2.0,101.3,103.8,99.9,105.0,98.0,109.0,94.3,108.6,97.4,109.8,96.6,122.3,110.6,4.2,1.9415,0.6152,0.8404,-1.8516,1.1195,-0.4,0.8,-0.8,-0.000173,-16.6,2.106666667,2.266666667,5593.0,125001.0,16.7,16.69,3342.478606,3500.696818,1.185011765,0.617381235,2.243074194
201510,2.37592381,4.35,2.97137619,4.183152381,487.9,13.9,7089.0,13.1,204674.77,1606.8,219.75,3.2,15.7,428.0,-2.0,101.0,103.2,100.7,98.9,99.6,107.7,95.2,97.2,92.4,99.1,99.9,93.7,105.4,1.9,2.3222,0.7231,0.8313,-1.4076,1.2018,-0.5,0.7,-1.0,0.002221,-15.8,2.106666667,2.266666667,10255.0,135256.0,17.06,17.04,3561.191914,3729.3842,1.238414286,0.104043143,2.455766667
201511,2.405521739,4.35,2.772452174,4.349421739,902.24,13.4,5978.0,12.4,206491.55,1807.28,219.75,4.9,15.2,2888.0,-2.0,97.1,103.3,99.9,92.8,96.7,105.9,92.9,95.0,92.7,94.8,99.8,92.0,103.6,-5.8,2.7,0.7789,0.8037,-1.2724,1.3118,-0.6,0.7,-1.1,0.004372,-15.1,2.106666667,2.266666667,18114.0,154086.0,17.63,17.61,3546.044087,3712.271139,0.851530435,0.124687087,2.487664516
201512,2.46965,4.35,2.707935,4.28923,552.46,14.1,25100.0,12.5,211016.36,2689.44,219.75,15.1,18.6,9310.0,-1.463333333,93.9,104.35,101.95,99.8,99.9,102.2,96.75,99.85,99.7,102.35,99.55,106.55,101.6,1.1,4.1,1.4,0.6,-1.6,1.7,-0.5,0.7,-1.6,0.002,-14.5,4.233333333,2.233333333,34758.0,34758.0,13.75,13.73,2983.37184,3122.36126,0.728625,-1.22203435,2.1004
201601,2.43665,4.35,2.697422222,4.3315,105.21,13.6,7266.0,13.3,212135.62,3579.0,219.75,-4.8,17.4,-3105.0,-1.463333333,93.9,105.4,104.0,106.8,103.1,98.5,100.6,104.7,106.7,109.9,99.3,121.1,99.6,1.8,7.3,1.3,0.3,-1.6,0.9,-0.3,0.7,-1.7,0.009,-14.3,4.233333333,2.233333333,8312.0,43070.0,13.52,13.5,2803.190063,2933.321,0.68380625,-0.088614313,1.941296552
201602,2.406834783,4.35,2.573678261,4.379891304,360.54,13.4,13700.0,13.0,212024.07,3827.75,219.75,4.4,22.1,-4770.0,-1.463333333,96.3,104.7,102.4,93.7,105.9,102.3,99.4,98.6,105.7,85.9,95.1,72.3,106.9,7.8,7.6,1.3144,0.3777,-2.6172,1.1713,0.5,0.769,-1.7466,0.007309,-14.5,4.233333333,2.233333333,23931.0,65859.0,15.11,15.08,2908.612696,3043.864217,0.801986957,0.49465913,1.995422581
201603,2.48893,4.35,2.62732,4.46042,295.39,13.1,5556.0,12.9,209092.53,3506.94,219.75,6.0,22.9,-248.0,-0.433333333,97.4,99.9,99.6,96.1,98.4,102.7,99.1,114.7,104.3,103.0,106.6,92.6,102.9,6.0,7.4,1.4058,0.4769,-2.3737,1.1589,0.7,0.7404,-1.7066,0.007431,-13.3,4.913333333,2.233333333,7809.0,73668.0,14.77,14.75,3005.07185,3144.82495,0.68505,-0.10572445,2.052506667
201604,2.465871429,4.35,2.730852381,4.440571429,343.28,13.0,9855.0,11.5,210173.73,3526.56,219.75,6.3,23.7,-1622.0,-0.433333333,96.7,105.1,102.4,96.6,98.8,99.8,104.8,98.9,106.8,106.6,101.2,112.7,103.4,-1.0,5.9,1.5571,0.6387,-2.6022,1.2063,0.5,0.7,-1.7,0.002893,-10.9,4.913333333,2.233333333,6770.0,80438.0,14.35,14.32,2859.862824,2993.081857,0.488680952,-0.027112762,1.925641935
201605,2.407428571,4.35,2.755228571,4.624835,625.57,13.0,13800.0,10.9,220039.97,3881.51,219.75,7.2,24.6,37.0,-0.433333333,97.7,101.2,99.5,100.0,107.4,103.5,108.1,109.0,104.6,91.0,106.4,78.1,107.2,9.7,4.6,1.6033,0.5876,-1.8033,1.3883,-0.2,1.0,-1.7,0.002687,-9.8,4.913333333,2.233333333,16479.0,97539.0,14.46,14.43,2899.1867,3034.5847,0.56471,0.02719,1.991703333
201606,2.469304762,4.35,2.641604762,4.757761905,357.03,11.6,4636.0,9.5,214870.72,3633.56,219.75,7.2,25.4,457.0,0.8,98.1,103.0,103.3,103.3,105.1,103.6,107.9,104.7,98.1,106.4,105.7,105.9,104.5,-1.6,3.3,1.5972,0.5737,-1.5895,1.6063,0.2,1.1,-1.4,0.0036,-8.3,2.883333333,2.233333333,4791.0,102330.0,14.8,14.77,3016.883238,3158.088,0.670952381,0.083709,2.088577419
